,Variable Name,LB,UB
39,"normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')]",0.0,100000.0
40,"normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_central_1#start',_'sslateingress@POST@/singlecore#us_central_1#end')]",0.0,100000.0
41,"normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_central_1#start',_'sslateingress@POST@/multicore#us_central_1#end')]",0.0,100000.0
42,"normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_central_1#start',_'corecontrast@POST@/multicore#us_central_1#end')]",0.0,100000.0
43,"normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_central_1#start',_'corecontrast@POST@/singlecore#us_central_1#end')]",0.0,100000.0
44,"normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')]",0.0,100000.0
45,"normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')]",0.0,100000.0
46,"normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')]",0.0,100000.0
47,"normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')]",0.0,100000.0
48,"load_for_compute_edge2[('corecontrast@POST@/multicore#us_south_1#start',_'corecontrast@POST@/multicore#us_south_1#end')]",0.0,inf
49,"load_for_compute_edge2[('corecontrast@POST@/singlecore#us_south_1#start',_'corecontrast@POST@/singlecore#us_south_1#end')]",0.0,inf
50,"load_for_compute_edge2[('sslateingress@POST@/singlecore#us_south_1#start',_'sslateingress@POST@/singlecore#us_south_1#end')]",0.0,inf
51,"load_for_compute_edge2[('sslateingress@POST@/multicore#us_south_1#start',_'sslateingress@POST@/multicore#us_south_1#end')]",0.0,inf
52,"load_for_compute_edge2[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')]",0.0,inf
53,"load_for_compute_edge2[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')]",0.0,inf
54,"load_for_compute_edge2[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')]",0.0,inf
55,"load_for_compute_edge2[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')]",0.0,inf
56,"load_for_compute_edge2[('sslateingress@POST@/singlecore#us_central_1#start',_'sslateingress@POST@/singlecore#us_central_1#end')]",0.0,inf
57,"load_for_compute_edge2[('sslateingress@POST@/multicore#us_central_1#start',_'sslateingress@POST@/multicore#us_central_1#end')]",0.0,inf
58,"load_for_compute_edge2[('corecontrast@POST@/multicore#us_central_1#start',_'corecontrast@POST@/multicore#us_central_1#end')]",0.0,inf
59,"load_for_compute_edge2[('corecontrast@POST@/singlecore#us_central_1#start',_'corecontrast@POST@/singlecore#us_central_1#end')]",0.0,inf
60,"load_for_compute_edge2[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')]",0.0,inf
61,"load_for_compute_edge2[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')]",0.0,inf
62,"load_for_compute_edge2[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')]",0.0,inf
63,"load_for_compute_edge2[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')]",0.0,inf
64,"network_latency[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')]",0.0,0.0
65,"network_latency[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')]",30.0,30.0
66,"network_latency[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')]",20.0,20.0
67,"network_latency[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')]",40.0,40.0
68,"network_latency[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')]",30.0,30.0
69,"network_latency[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')]",0.0,0.0
70,"network_latency[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')]",40.0,40.0
