,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
58,us-west-1,sslateingress,POST,/multicore,95cc23639a5ad476cbc5395fd9a33351,cbc5395fd9a33351,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:80|
59,us-west-1,corecontrast,POST,/multicore,95cc23639a5ad476cbc5395fd9a33351,cec8da76134635ac,cbc5395fd9a33351,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:124|
60,us-west-1,sslateingress,POST,/multicore,498b16195656cd591cc64fabd81c323c,1cc64fabd81c323c,nan,0.0,16.0,16.0,1.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:84|
61,us-west-1,corecontrast,POST,/multicore,498b16195656cd591cc64fabd81c323c,b9ca35e36c78289b,1cc64fabd81c323c,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:84|
62,us-west-1,corecontrast,POST,/multicore,e3bdfbb0624a9d7e63d67748724166b5,336ba4db61f5ce1f,63d67748724166b5,1.0,18.0,17.0,17.0,17.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:104|
63,us-west-1,sslateingress,POST,/multicore,e3bdfbb0624a9d7e63d67748724166b5,63d67748724166b5,nan,0.0,18.0,18.0,1.0,18.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
64,us-west-1,corecontrast,POST,/multicore,d78fafad94e480cc3dc1bb3c3205d7b5,7d719cc5f8b1de5e,3dc1bb3c3205d7b5,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:96|
65,us-west-1,sslateingress,POST,/multicore,d78fafad94e480cc3dc1bb3c3205d7b5,3dc1bb3c3205d7b5,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
66,us-west-1,corecontrast,POST,/multicore,6b12866790d26caff34b9c8830fc99c8,cfa2cd0890667c06,f34b9c8830fc99c8,1.0,20.0,19.0,19.0,19.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:100|
67,us-west-1,sslateingress,POST,/multicore,6b12866790d26caff34b9c8830fc99c8,f34b9c8830fc99c8,nan,0.0,22.0,22.0,3.0,22.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:100|
68,us-west-1,sslateingress,POST,/multicore,c6fe8af263b54c997a0f481d9590a7e6,7a0f481d9590a7e6,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:108|
69,us-west-1,corecontrast,POST,/multicore,c6fe8af263b54c997a0f481d9590a7e6,5326dc5beae74e39,7a0f481d9590a7e6,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:128|
70,us-west-1,corecontrast,POST,/multicore,3b898f2d09bb788e339a93b4e6a0daa7,e5549fd1fda9ef60,339a93b4e6a0daa7,1.0,19.0,18.0,18.0,18.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:88|
71,us-west-1,sslateingress,POST,/multicore,3b898f2d09bb788e339a93b4e6a0daa7,339a93b4e6a0daa7,nan,0.0,21.0,21.0,3.0,21.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:84|
72,us-west-1,corecontrast,POST,/multicore,abfe11b2ad9380738283d1c62a5abc4e,ce95f859aa05dad1,8283d1c62a5abc4e,2.0,21.0,19.0,19.0,19.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:116|
73,us-west-1,sslateingress,POST,/multicore,abfe11b2ad9380738283d1c62a5abc4e,8283d1c62a5abc4e,nan,0.0,22.0,22.0,3.0,22.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:112|
74,us-west-1,sslateingress,POST,/multicore,74a53895ff43da304d229c94eb60da72,4d229c94eb60da72,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:88|
75,us-west-1,corecontrast,POST,/multicore,74a53895ff43da304d229c94eb60da72,110aa86d08de9178,4d229c94eb60da72,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:104|
76,us-west-1,sslateingress,POST,/multicore,b7be1155f5baf1ec40858a93081bdc7e,40858a93081bdc7e,nan,0.0,26.0,26.0,2.0,26.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:92|
77,us-west-1,corecontrast,POST,/multicore,b7be1155f5baf1ec40858a93081bdc7e,7b4d91054e6fb20e,40858a93081bdc7e,1.0,25.0,24.0,24.0,24.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:92|
78,us-west-1,sslateingress,POST,/multicore,e9bf2ec94705c5ba3e14c770257f4feb,3e14c770257f4feb,nan,0.0,19.0,19.0,2.0,19.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:96|
79,us-west-1,corecontrast,POST,/multicore,e9bf2ec94705c5ba3e14c770257f4feb,d3132407a62d5b78,3e14c770257f4feb,1.0,18.0,17.0,17.0,17.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:88|
80,us-west-1,sslateingress,POST,/multicore,788205e4f4b2b21ff08d589e656e4e62,f08d589e656e4e62,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:96|
81,us-west-1,corecontrast,POST,/multicore,788205e4f4b2b21ff08d589e656e4e62,9da8b43015ee30a2,f08d589e656e4e62,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:84|
82,us-west-1,sslateingress,POST,/multicore,7318fa7140b4f624485cb9583c3d4ee0,485cb9583c3d4ee0,nan,0.0,17.0,17.0,3.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:88|
83,us-west-1,corecontrast,POST,/multicore,7318fa7140b4f624485cb9583c3d4ee0,891a8af02452b3fc,485cb9583c3d4ee0,2.0,16.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:88|
84,us-west-1,sslateingress,POST,/multicore,eed6ab4c9515146aad0013e7a37d99b4,ad0013e7a37d99b4,nan,0.0,24.0,24.0,2.0,24.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:96|
85,us-west-1,corecontrast,POST,/multicore,eed6ab4c9515146aad0013e7a37d99b4,d672b3efd484d586,ad0013e7a37d99b4,1.0,23.0,22.0,22.0,22.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:108|
86,us-west-1,sslateingress,POST,/multicore,ab94b3b761a871f1f74138bfda974192,f74138bfda974192,nan,0.0,18.0,18.0,2.0,18.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:124|
87,us-west-1,corecontrast,POST,/multicore,ab94b3b761a871f1f74138bfda974192,55c538e3084b282e,f74138bfda974192,1.0,17.0,16.0,16.0,16.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:88|
88,us-west-1,corecontrast,POST,/multicore,5c4189617b2d2b3ce8f8e5af2b0109bc,c0e94172a84851b9,e8f8e5af2b0109bc,1.0,19.0,18.0,18.0,18.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:116|
89,us-west-1,sslateingress,POST,/multicore,5c4189617b2d2b3ce8f8e5af2b0109bc,e8f8e5af2b0109bc,nan,0.0,20.0,20.0,2.0,20.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:100|
90,us-west-1,corecontrast,POST,/multicore,0b0cc9837884828c0d175e475e35a304,c58ac28ba30e96f0,0d175e475e35a304,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:116|
91,us-west-1,sslateingress,POST,/multicore,0b0cc9837884828c0d175e475e35a304,0d175e475e35a304,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:108|
92,us-west-1,corecontrast,POST,/multicore,c2b0a71f6a741efc9ae8e1402c565f7b,7335fd89b7bff63c,9ae8e1402c565f7b,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:80|
93,us-west-1,sslateingress,POST,/multicore,c2b0a71f6a741efc9ae8e1402c565f7b,9ae8e1402c565f7b,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
94,us-west-1,corecontrast,POST,/multicore,3e6a22675a94b92d6e7ac2e644c9222c,691828aabf05cb53,6e7ac2e644c9222c,2.0,16.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:92|
