,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
88,us-west-1,corecontrast,POST,/multicore,31c0ce257bb58cabc156f0877f53dcf7,ff7269a4dadd7be3,c156f0877f53dcf7,36.0,1558.0,1522.0,1522.0,1522.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1192|
89,us-west-1,sslateingress,POST,/multicore,31c0ce257bb58cabc156f0877f53dcf7,c156f0877f53dcf7,nan,0.0,1564.0,1564.0,42.0,1564.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1200|
90,us-west-1,corecontrast,POST,/multicore,8e74f435fceda9994f3f548b1b76a33f,505cf74e9e3d97be,4f3f548b1b76a33f,60.0,127.0,67.0,67.0,67.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1212|
91,us-west-1,sslateingress,POST,/multicore,8e74f435fceda9994f3f548b1b76a33f,4f3f548b1b76a33f,nan,0.0,132.0,132.0,65.0,132.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1200|
92,us-west-1,corecontrast,POST,/multicore,a352eb9d3e65c5960e4a937bfd71ed87,eaf45ace34d687db,0e4a937bfd71ed87,12.0,1502.0,1490.0,1490.0,1490.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1248|
93,us-west-1,sslateingress,POST,/multicore,a352eb9d3e65c5960e4a937bfd71ed87,0e4a937bfd71ed87,nan,0.0,1505.0,1505.0,15.0,1505.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1212|
94,us-west-1,corecontrast,POST,/multicore,c4ea4c296d91dcc55ec15fa32d5dbdee,f8756a5f7f66391c,5ec15fa32d5dbdee,6.0,1464.0,1458.0,1458.0,1458.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1260|
95,us-west-1,sslateingress,POST,/multicore,c4ea4c296d91dcc55ec15fa32d5dbdee,5ec15fa32d5dbdee,nan,0.0,1465.0,1465.0,7.0,1465.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1164|
96,us-west-1,corecontrast,POST,/multicore,a395893aef91db36de42b82840d1df0e,55cd592109aeb7e3,de42b82840d1df0e,5.0,1461.0,1456.0,1456.0,1456.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1256|
97,us-west-1,sslateingress,POST,/multicore,a395893aef91db36de42b82840d1df0e,de42b82840d1df0e,nan,0.0,1464.0,1464.0,8.0,1464.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1316|
98,us-west-1,corecontrast,POST,/multicore,b0d2153bd3e79a533099793ee244c242,af688ad603aa792b,3099793ee244c242,3.0,26.0,23.0,23.0,23.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1268|
99,us-west-1,sslateingress,POST,/multicore,b0d2153bd3e79a533099793ee244c242,3099793ee244c242,nan,0.0,28.0,28.0,5.0,28.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1220|
100,us-west-1,corecontrast,POST,/multicore,4a7bf8933da342d3c5d6825278f46957,90ee4c0289d3fa32,c5d6825278f46957,2.0,3760.0,3758.0,3758.0,3758.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1268|
101,us-west-1,sslateingress,POST,/multicore,4a7bf8933da342d3c5d6825278f46957,c5d6825278f46957,nan,0.0,3761.0,3761.0,3.0,3761.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1224|
102,us-west-1,corecontrast,POST,/multicore,fabdc8848a1c27086812283c42f52758,102d1ace4c68894f,6812283c42f52758,3.0,1459.0,1456.0,1456.0,1456.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1236|
103,us-west-1,sslateingress,POST,/multicore,fabdc8848a1c27086812283c42f52758,6812283c42f52758,nan,0.0,1462.0,1462.0,6.0,1462.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1228|
104,us-west-1,corecontrast,POST,/multicore,0690d4d60b3e29a785c8e3a5fc2af41b,d0290ed423b6f848,85c8e3a5fc2af41b,4.0,3731.0,3727.0,3727.0,3727.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1248|
105,us-west-1,sslateingress,POST,/multicore,0690d4d60b3e29a785c8e3a5fc2af41b,85c8e3a5fc2af41b,nan,0.0,3735.0,3735.0,8.0,3735.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1220|
106,us-west-1,corecontrast,POST,/multicore,7bdd79ffb4a10435b8bbcf65e9624ce0,782e2187a326a7c5,b8bbcf65e9624ce0,11.0,3776.0,3765.0,3765.0,3765.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1276|
107,us-west-1,sslateingress,POST,/multicore,7bdd79ffb4a10435b8bbcf65e9624ce0,b8bbcf65e9624ce0,nan,0.0,3777.0,3777.0,12.0,3777.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1224|
108,us-west-1,corecontrast,POST,/multicore,5c93f3e0ef8f482df2df5c15e438d018,4fea8fa5507f715e,f2df5c15e438d018,2.0,3637.0,3635.0,3635.0,3635.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1184|
109,us-west-1,sslateingress,POST,/multicore,5c93f3e0ef8f482df2df5c15e438d018,f2df5c15e438d018,nan,0.0,3639.0,3639.0,4.0,3639.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1172|
110,us-west-1,corecontrast,POST,/multicore,cc4e1bcfd66f6a34b4dcc9ec3814c99e,3f2ad69dea8dd1b1,b4dcc9ec3814c99e,2.0,2411.0,2409.0,2409.0,2409.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1172|
111,us-west-1,sslateingress,POST,/multicore,cc4e1bcfd66f6a34b4dcc9ec3814c99e,b4dcc9ec3814c99e,nan,0.0,2413.0,2413.0,4.0,2413.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1176|
