,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
60,us-west-1,sslateingress,POST,/cart/checkout,10f196b8503d87c173370b4ae309355d,73370b4ae309355d,nan,0.0,39.0,39.0,3.0,39.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:592|
61,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,10f196b8503d87c173370b4ae309355d,78e27262a5b656c7,ce649ab8adae7987,30.0,36.0,6.0,6.0,6.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:608|
62,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,10f196b8503d87c173370b4ae309355d,7f1bbfb83ae8521b,90bc181d96488d0e,13.0,16.0,3.0,3.0,3.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
63,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,10f196b8503d87c173370b4ae309355d,9dba27b0980b2aa3,90bc181d96488d0e,18.0,20.0,2.0,2.0,2.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709546180|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:600|
64,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,b8c19dcc50fec5dc63adc863b0a40a98,688b68bf2983bc30,ae748756a31a5760,31.0,32.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:608|
65,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,b8c19dcc50fec5dc63adc863b0a40a98,aaaabeea62fcde31,488c8cf92cf28f88,39.0,47.0,8.0,8.0,8.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:608|
66,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,b8c19dcc50fec5dc63adc863b0a40a98,99cc1ad368a93b76,ae748756a31a5760,26.0,27.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709546124|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:608|
67,us-west-1,frontend,POST,/cart/checkout,b8c19dcc50fec5dc63adc863b0a40a98,488c8cf92cf28f88,63adc863b0a40a98,4.0,48.0,44.0,8.0,44.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:608|
68,us-west-1,sslateingress,POST,/cart/checkout,b8c19dcc50fec5dc63adc863b0a40a98,63adc863b0a40a98,nan,0.0,50.0,50.0,6.0,50.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:600|
69,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,b8c19dcc50fec5dc63adc863b0a40a98,1c163e5d76034b1e,ae748756a31a5760,9.0,12.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:608|
70,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,b8c19dcc50fec5dc63adc863b0a40a98,ae748756a31a5760,488c8cf92cf28f88,6.0,34.0,28.0,23.0,28.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:600|
71,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,b8c19dcc50fec5dc63adc863b0a40a98,be2f9c6ac3b4dcbb,ae748756a31a5760,20.0,22.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:608|
72,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,fd52a5b4aab7814e348513c8c2197a76,aeea79414465d9a3,9bc6297f57b7f763,21.0,23.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
73,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,fd52a5b4aab7814e348513c8c2197a76,9bc6297f57b7f763,38b01a12a99fe7f8,8.0,33.0,25.0,22.0,25.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:600|
74,us-west-1,sslateingress,POST,/cart/checkout,fd52a5b4aab7814e348513c8c2197a76,348513c8c2197a76,nan,0.0,45.0,45.0,2.0,45.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:600|
75,us-west-1,frontend,POST,/cart/checkout,fd52a5b4aab7814e348513c8c2197a76,38b01a12a99fe7f8,348513c8c2197a76,1.0,44.0,43.0,13.0,43.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:608|
76,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,fd52a5b4aab7814e348513c8c2197a76,d81cdd0e8a16fed1,9bc6297f57b7f763,10.0,12.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:600|
77,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,fd52a5b4aab7814e348513c8c2197a76,bde4eac913864e2a,9bc6297f57b7f763,29.0,31.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:600|
78,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,fd52a5b4aab7814e348513c8c2197a76,56820d33b6eff46e,38b01a12a99fe7f8,36.0,41.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:600|
79,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,fd52a5b4aab7814e348513c8c2197a76,1f80b1c110e09a89,9bc6297f57b7f763,25.0,26.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:600|
80,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,699158b4cf9cd14d2df1eb9f81daf98c,c23d5a40162f1a4f,53d2ef369d17e98f,14.0,16.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:608|
81,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,699158b4cf9cd14d2df1eb9f81daf98c,db5e5e597e6d62af,53d2ef369d17e98f,6.0,9.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:600|
82,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,699158b4cf9cd14d2df1eb9f81daf98c,f1c1f37c0c46f3a6,53d2ef369d17e98f,18.0,19.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709546030|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:600|
83,us-west-1,frontend,POST,/cart/checkout,699158b4cf9cd14d2df1eb9f81daf98c,72979981017d4ec6,2df1eb9f81daf98c,3.0,36.0,33.0,6.0,33.0,-1,frontend@POST@/cart/checkout:2|,frontend@POST@/cart/checkout:608|
84,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,699158b4cf9cd14d2df1eb9f81daf98c,53d2ef369d17e98f,72979981017d4ec6,4.0,25.0,21.0,19.0,21.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:600|
85,us-west-1,sslateingress,POST,/cart/checkout,699158b4cf9cd14d2df1eb9f81daf98c,2df1eb9f81daf98c,nan,0.0,37.0,37.0,4.0,37.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:592|
