counter,region,service,endpoint,rps
56,us-central-1,corecontrast,corecontrast@POST@/singlecore,51
56,us-central-1,sslateingress,sslateingress@POST@/multicore,201
56,us-central-1,sslateingress,sslateingress@POST@/singlecore,50
57,us-south-1,corecontrast,corecontrast@POST@/multicore,206
57,us-south-1,corecontrast,corecontrast@POST@/singlecore,54
57,us-south-1,sslateingress,sslateingress@POST@/multicore,209
57,us-south-1,sslateingress,sslateingress@POST@/singlecore,49
57,us-east-1,corecontrast,corecontrast@POST@/multicore,290
57,us-east-1,corecontrast,corecontrast@POST@/singlecore,160
57,us-east-1,sslateingress,sslateingress@POST@/multicore,300
57,us-east-1,sslateingress,sslateingress@POST@/singlecore,150
57,us-west-1,sslateingress,sslateingress@POST@/multicore,197
57,us-west-1,sslateingress,sslateingress@POST@/singlecore,59
57,us-west-1,corecontrast,corecontrast@POST@/multicore,200
57,us-west-1,corecontrast,corecontrast@POST@/singlecore,52
57,us-central-1,corecontrast,corecontrast@POST@/multicore,193
57,us-central-1,corecontrast,corecontrast@POST@/singlecore,54
57,us-central-1,sslateingress,sslateingress@POST@/multicore,200
57,us-central-1,sslateingress,sslateingress@POST@/singlecore,55
58,us-south-1,corecontrast,corecontrast@POST@/multicore,208
58,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
58,us-south-1,sslateingress,sslateingress@POST@/multicore,200
58,us-south-1,sslateingress,sslateingress@POST@/singlecore,59
58,us-east-1,corecontrast,corecontrast@POST@/multicore,311
58,us-east-1,corecontrast,corecontrast@POST@/singlecore,160
58,us-east-1,sslateingress,sslateingress@POST@/multicore,312
58,us-east-1,sslateingress,sslateingress@POST@/singlecore,149
58,us-west-1,sslateingress,sslateingress@POST@/multicore,206
58,us-west-1,sslateingress,sslateingress@POST@/singlecore,48
58,us-west-1,corecontrast,corecontrast@POST@/multicore,205
58,us-west-1,corecontrast,corecontrast@POST@/singlecore,54
58,us-central-1,corecontrast,corecontrast@POST@/multicore,212
58,us-central-1,corecontrast,corecontrast@POST@/singlecore,51
58,us-central-1,sslateingress,sslateingress@POST@/multicore,209
58,us-central-1,sslateingress,sslateingress@POST@/singlecore,50
59,us-south-1,corecontrast,corecontrast@POST@/multicore,207
59,us-south-1,corecontrast,corecontrast@POST@/singlecore,51
59,us-south-1,sslateingress,sslateingress@POST@/multicore,192
59,us-south-1,sslateingress,sslateingress@POST@/singlecore,52
59,us-east-1,corecontrast,corecontrast@POST@/multicore,312
59,us-east-1,corecontrast,corecontrast@POST@/singlecore,143
59,us-east-1,sslateingress,sslateingress@POST@/multicore,295
59,us-east-1,sslateingress,sslateingress@POST@/singlecore,162
59,us-west-1,sslateingress,sslateingress@POST@/multicore,203
59,us-west-1,sslateingress,sslateingress@POST@/singlecore,56
59,us-west-1,corecontrast,corecontrast@POST@/multicore,199
59,us-west-1,corecontrast,corecontrast@POST@/singlecore,53
59,us-central-1,corecontrast,corecontrast@POST@/multicore,200
59,us-central-1,corecontrast,corecontrast@POST@/singlecore,56
59,us-central-1,sslateingress,sslateingress@POST@/multicore,205
59,us-central-1,sslateingress,sslateingress@POST@/singlecore,61
60,us-south-1,corecontrast,corecontrast@POST@/multicore,199
60,us-south-1,corecontrast,corecontrast@POST@/singlecore,55
60,us-south-1,sslateingress,sslateingress@POST@/multicore,218
60,us-south-1,sslateingress,sslateingress@POST@/singlecore,60
60,us-east-1,corecontrast,corecontrast@POST@/multicore,293
60,us-east-1,corecontrast,corecontrast@POST@/singlecore,156
60,us-east-1,sslateingress,sslateingress@POST@/multicore,310
60,us-east-1,sslateingress,sslateingress@POST@/singlecore,154
60,us-west-1,sslateingress,sslateingress@POST@/multicore,205
60,us-west-1,sslateingress,sslateingress@POST@/singlecore,46
60,us-west-1,corecontrast,corecontrast@POST@/multicore,206
60,us-west-1,corecontrast,corecontrast@POST@/singlecore,48
60,us-central-1,corecontrast,corecontrast@POST@/multicore,198
60,us-central-1,corecontrast,corecontrast@POST@/singlecore,53
60,us-central-1,sslateingress,sslateingress@POST@/multicore,204
60,us-central-1,sslateingress,sslateingress@POST@/singlecore,50
61,us-south-1,corecontrast,corecontrast@POST@/multicore,208
61,us-south-1,corecontrast,corecontrast@POST@/singlecore,54
61,us-south-1,sslateingress,sslateingress@POST@/multicore,202
61,us-south-1,sslateingress,sslateingress@POST@/singlecore,53
61,us-east-1,corecontrast,corecontrast@POST@/multicore,309
61,us-east-1,corecontrast,corecontrast@POST@/singlecore,154
61,us-east-1,sslateingress,sslateingress@POST@/multicore,307
61,us-east-1,sslateingress,sslateingress@POST@/singlecore,160
61,us-west-1,sslateingress,sslateingress@POST@/multicore,206
61,us-west-1,sslateingress,sslateingress@POST@/singlecore,56
61,us-west-1,corecontrast,corecontrast@POST@/multicore,203
61,us-west-1,corecontrast,corecontrast@POST@/singlecore,55
61,us-central-1,corecontrast,corecontrast@POST@/multicore,214
61,us-central-1,corecontrast,corecontrast@POST@/singlecore,50
61,us-central-1,sslateingress,sslateingress@POST@/multicore,205
61,us-central-1,sslateingress,sslateingress@POST@/singlecore,53
62,us-south-1,corecontrast,corecontrast@POST@/multicore,204
62,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
62,us-south-1,sslateingress,sslateingress@POST@/multicore,197
62,us-south-1,sslateingress,sslateingress@POST@/singlecore,50
62,us-east-1,corecontrast,corecontrast@POST@/multicore,295
62,us-east-1,corecontrast,corecontrast@POST@/singlecore,154
62,us-east-1,sslateingress,sslateingress@POST@/multicore,302
62,us-east-1,sslateingress,sslateingress@POST@/singlecore,149
62,us-west-1,sslateingress,sslateingress@POST@/multicore,197
