,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
39,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,0d9b6cc638cfbb1e936bdbe6b3d766a2,97d44a750a336ad1,6bdc194b6a2a7ef8,336.0,354.0,18.0,18.0,18.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:856|
40,us-west-1,sslateingress,POST,/cart/checkout,f13d2a14abf31e059f66ff888a63f4b3,9f66ff888a63f4b3,nan,0.0,356.0,356.0,61.0,356.0,-1,sslateingress@POST@/cart/checkout:5|,sslateingress@POST@/cart/checkout:296|
41,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,f13d2a14abf31e059f66ff888a63f4b3,4c8040b00d50967d,58b8d42d94a66978,128.0,136.0,8.0,8.0,8.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:3|,cartservice@POST@/hipstershop.CartService/GetCart:416|
42,us-west-1,frontend,POST,/cart/checkout,f13d2a14abf31e059f66ff888a63f4b3,5c72bf2d7b23d88c,9f66ff888a63f4b3,59.0,354.0,295.0,49.0,295.0,-1,frontend@POST@/cart/checkout:8|,frontend@POST@/cart/checkout:288|
43,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,f13d2a14abf31e059f66ff888a63f4b3,68b1205a856649e6,58b8d42d94a66978,256.0,257.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709539920|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:312|
44,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,f13d2a14abf31e059f66ff888a63f4b3,5cde478bdbbb9b3d,58b8d42d94a66978,238.0,242.0,4.0,4.0,4.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709540001|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:288|
45,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,f13d2a14abf31e059f66ff888a63f4b3,58b8d42d94a66978,5c72bf2d7b23d88c,96.0,260.0,164.0,155.0,164.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:3|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:352|
46,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,f13d2a14abf31e059f66ff888a63f4b3,b0b2a900ca19f71e,58b8d42d94a66978,195.0,200.0,5.0,5.0,5.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:352|
47,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,f13d2a14abf31e059f66ff888a63f4b3,8cdaf9580546bfa4,5c72bf2d7b23d88c,271.0,353.0,82.0,82.0,82.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709537600|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:672|
48,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,756261808d0c7722b7a23b93d363cd1a,49c4298943da03c0,2eb10032d77df12a,113.0,121.0,8.0,8.0,8.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709537538|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:56|
49,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,756261808d0c7722b7a23b93d363cd1a,e1a21cbe8eb4f087,095dd99765d2e8b0,65.0,69.0,4.0,4.0,4.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:2|,cartservice@POST@/hipstershop.CartService/GetCart:80|
50,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,756261808d0c7722b7a23b93d363cd1a,c12cc9bd2f183d86,095dd99765d2e8b0,83.0,87.0,4.0,4.0,4.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:48|
51,us-west-1,sslateingress,POST,/cart/checkout,756261808d0c7722b7a23b93d363cd1a,b7a23b93d363cd1a,nan,0.0,155.0,155.0,87.0,155.0,-1,sslateingress@POST@/cart/checkout:9|,sslateingress@POST@/cart/checkout:104|
52,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,756261808d0c7722b7a23b93d363cd1a,8d368e48ba35d436,095dd99765d2e8b0,98.0,101.0,3.0,3.0,3.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709539909|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:56|
53,us-west-1,frontend,POST,/cart/checkout,756261808d0c7722b7a23b93d363cd1a,2eb10032d77df12a,b7a23b93d363cd1a,55.0,123.0,68.0,13.0,68.0,-1,frontend@POST@/cart/checkout:2|,frontend@POST@/cart/checkout:56|
54,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,756261808d0c7722b7a23b93d363cd1a,095dd99765d2e8b0,2eb10032d77df12a,61.0,108.0,47.0,43.0,47.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:2|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:72|
